;;;;;;;;;;
Título do Acordo;Tipo do Acordo;;;Outra Parte;Assuntos;Nº de Série;Nº da Pasta;;Data;Status da Tramitação 
Apêndice 50 ao Centésimo Nonagésimo Protocolo Adicional do Acordo de Complementação Econômica N° 18;Multilateral;;;N/A;"Aladi 
Comércio Internacional 
Economia";12622;;;22/09/2022;Em Vigor
Apêndice 49 ao Centésimo Nonagésimo Protocolo Adicional do Acordo de Complementação Econômica N° 18;Multilateral;;;N/A;"Aladi 
Comércio Internacional 
Economia";12621;;;22/09/2022;Em Vigor
Ata Constitutiva da Rede Regional de Mediadoras do Cone Sul;Multilateral;;;N/A;"Mercosul 
Cooperação Regional 
Mediação 
Resolução de Conflitos";12620;;;23/08/2021;Em Vigor
Quadragésimo Quinto Protocolo Adicional ao Acordo de Complementação Econômica nº 14 (45PA-ACE14);Multilateral;;;N/A;"Aladi 
Comércio Internacional 
Economia";12619;;;22/09/2022;Tramitação Ministérios/Casa Civil
Emendas à Convenção SOLAS aprovadas pelo Comitê de Segurança Marítima da IMO, entre 2007 e 2009 - Resoluções MSC.239(83), MSC.240(83), MSC.256(84), MSC.257(84), MSC.258(84), MSC.269(85), MSC.282(86) e MSC.283(86);Multilateral;;;N/A;IMO (Organização Marítima Internacional);12618;;;12/10/2007;Tramitação Ministérios/Casa Civil
Protocolo de 1988 relativo à Convenção Internacional sobre Linhas de Carga, 1966 e sua emendas modificativas - Resoluções MSC.143(77), MSC.172(79), MSC.223(82), MSC.270(85), MSC.329(90), MSC.345(91), MSC.356(92) e MSC.375(93);Multilateral;;;N/A;IMO (Organização Marítima Internacional);12617;;;11/11/1988;Tramitação MRE
Acordo sobre Transporte Aéreo entre o Governo da República Federativa do Brasil e o Governo da República de El Salvador.;Bilateral;;;El Salvador;Transporte Aéreo;12616;74;;21/09/2022;Tramitação Ministérios/Casa Civil
Acordo sobre Serviços Aéreos entre a República Federativa do Brasil e a República da Sérvia.;Bilateral;;;Sérvia;Transporte Aéreo;12615;9;;22/09/2022;Tramitação Ministérios/Casa Civil
Tratado entre a República Federativa do Brasil e a República da Sérvia sobre Assistência Jurídica em Matéria Civil.;Bilateral;;;Sérvia;Direito Civil;12614;8;;22/09/2022;Tramitação MRE
Acordo entre a República Federativa do Brasil e a República da Polônia para a Eliminação da Dupla Tributação em Relação aos Tributos sobre a Renda e a Prevenção da Evasão e da Elisão Fiscais e seu Protocolo.;Bilateral;;;Polônia;Aduanas, Impostos e Tarifas;12613;57;;20/09/2022;Tramitação Ministérios/Casa Civil
Acordo entre o Governo da República Federativa do Brasil e o Governo da República da Polônia sobre Troca e Proteção Mútua de Informações Classificadas;Bilateral;;;Polônia;Defesa e Assuntos Militares;12612;56;;20/09/2022;Tramitação Ministérios/Casa Civil
